"pmid","nct_id","reference_type","cite_count"
19033002,"NCT00335452","one-to-one",NA
19033002,"NCT00335452","one-to-one",NA
19050388,"NCT00027352","one-to-one",NA
19155249,"NCT00145119","one-to-one",53
19155249,"NCT00145119","one-to-one",53
19164344,"NCT00292552","one-to-one",NA
19236467,"NCT00591084","one-to-one",NA
19236467,"NCT00591084","one-to-one",NA
19236467,"NCT00591084","one-to-one",NA
19249410,"NCT00597220","one-to-one",NA
19249410,"NCT00597220","one-to-one",NA
19262464,"NCT00388622","one-to-one",NA
19278178,"NCT00401362","one-to-one",NA
19332353,"NCT00483808","one-to-one",NA
19332455,"NCT00089895","one-to-one",NA
19332455,"NCT00089895","one-to-one",NA
19348685,"NCT00062803","one-to-one",NA
19348685,"NCT00067093","one-to-one",NA
19351941,"NCT00047437","one-to-one",NA
19351942,"NCT00047437","one-to-one",NA
19366777,"NCT00315133","one-to-one",NA
19366777,"NCT00315133","one-to-one",NA
19377385,"NCT00722319","one-to-one",NA
19377385,"NCT00722319","one-to-one",NA
19398687,"NCT00388622","one-to-one",NA
19410683,"NCT00327691","one-to-one",NA
19410683,"NCT00327691","one-to-one",NA
19440326,"NCT00055120","one-to-one",NA
19451556,"NCT00153101","one-to-one",NA
19494217,"NCT00465985","one-to-one",NA
19506526,"NCT00153101","one-to-one",NA
19515371,"NCT00027352","one-to-one",NA
19531929,"NCT00027352","one-to-one",NA
19576325,"NCT00658515","one-to-one",NA
19608026,"NCT00242944","one-to-one",NA
19608026,"NCT00242944","one-to-one",NA
19608028,"NCT00121472","one-to-one",NA
19664276,"NCT00142805","one-to-one",NA
19678756,"NCT00027352","one-to-one",NA
19699854,"NCT00526474","one-to-one",NA
19699854,"NCT00526474","one-to-one",NA
19699854,"NCT00526474","one-to-one",NA
19706858,"NCT00799396","one-to-one",NA
19711440,"NCT00133692","one-to-one",NA
19717846,"NCT00391872","one-to-one",NA
19717846,"NCT00391872","one-to-one",NA
19755366,"NCT00047437","one-to-one",NA
19770393,"NCT00596479","one-to-one",NA
19770395,"NCT00153101","one-to-one",NA
19782784,"NCT00047437","one-to-one",NA
19782785,"NCT00047437","one-to-one",NA
19782786,"NCT00047437","one-to-one",NA
19782787,"NCT00047437","one-to-one",NA
19782789,"NCT00047437","one-to-one",NA
19782791,"NCT00047437","one-to-one",NA
19782792,"NCT00047437","one-to-one",NA
19822798,"NCT00483808","one-to-one",NA
19828532,"NCT00004978","one-to-one",NA
19834012,"NCT00604630","one-to-one",NA
19834012,"NCT00604630","one-to-one",NA
19834012,"NCT00604630","one-to-one",NA
19843340,"NCT00371384","one-to-one",NA
19843340,"NCT00371384","one-to-one",NA
19850525,"NCT00153036","one-to-one",NA
19850525,"NCT00153036","one-to-one",NA
19858703,"NCT00830440","one-to-one",NA
19898642,"NCT00000620","one-to-one",NA
19898642,"NCT00000620","one-to-one",NA
19920051,"NCT00121485","one-to-one",NA
19926008,"NCT00000542","one-to-one",NA
19926008,"NCT00000542","one-to-one",NA
19926008,"NCT00000542","one-to-one",NA
19933938,"NCT00121472","one-to-one",NA
19951979,"NCT00171821","one-to-one",NA
19958854,"NCT00658515","one-to-one",NA
19996412,"NCT00171821","one-to-one",NA
20010618,"NCT00280540","one-to-one",NA
20019013,"NCT00145119","one-to-one",11
20019013,"NCT00145119","one-to-one",11
20061358,"NCT00000620","one-to-one",NA
20061358,"NCT00000620","one-to-one",NA
20061360,"NCT00000620","one-to-one",NA
20061360,"NCT00000620","one-to-one",NA
20079528,"NCT00391872","one-to-one",NA
20079528,"NCT00391872","one-to-one",NA
20096136,"NCT00713843","one-to-one",NA
20096136,"NCT00713843","one-to-one",NA
20130232,"NCT00159835","one-to-one",NA
20130232,"NCT00327691","one-to-one",NA
20130232,"NCT00327691","one-to-one",NA
20147875,"NCT00439764","one-to-one",NA
20147875,"NCT00439764","one-to-one",NA
20156608,"NCT00747838","one-to-one",NA
20156608,"NCT00747838","one-to-one",NA
20160654,"NCT00244621","one-to-one",NA
20173748,"NCT00292552","one-to-one",NA
20175410,"NCT00089752","one-to-one",NA
20175410,"NCT00089752","one-to-one",NA
20175775,"NCT00313196","one-to-one",NA
20175775,"NCT00360087","one-to-one",NA
20194866,"NCT00349349","one-to-one",NA
20215456,"NCT00000620","one-to-one",NA
20215456,"NCT00000620","one-to-one",NA
20216301,"NCT00027352","one-to-one",NA
20227758,"NCT00607373","one-to-one",NA
20227758,"NCT00607373","one-to-one",NA
20228401,"NCT00000620","one-to-one",NA
20228401,"NCT00000620","one-to-one",NA
20228404,"NCT00000620","one-to-one",NA
20228404,"NCT00000620","one-to-one",NA
20231536,"NCT00153101","one-to-one",NA
20398351,"NCT00872469","one-to-one",NA
20400102,"NCT02072590","one-to-one",NA
20408846,"NCT00093314","one-to-one",NA
20427682,"NCT00000620","one-to-one",NA
20427682,"NCT00000620","one-to-one",NA
20446945,"NCT00716079","one-to-one",NA
20446945,"NCT00716079","one-to-one",NA
20446945,"NCT00716079","one-to-one",NA
20446946,"NCT00059306","one-to-one",NA
20446946,"NCT00059306","one-to-one",NA
20467151,"NCT00242944","one-to-one",NA
20467151,"NCT00242944","one-to-one",NA
20467286,"NCT00001137","one-to-one",NA
20479938,"NCT01909414","one-to-one",NA
20508186,"NCT00390962","one-to-one",NA
20508186,"NCT00390962","one-to-one",NA
20533546,"NCT00798369","one-to-one",NA
20550701,"NCT00292552","one-to-one",NA
20551371,"NCT00047437","one-to-one",NA
20554982,"NCT00164736","one-to-one",NA
20566896,"NCT00171821","one-to-one",NA
20571135,"NCT00000620","one-to-one",NA
20571135,"NCT00000620","one-to-one",NA
20587587,"NCT00000620","one-to-one",NA
20587587,"NCT00000620","one-to-one",NA
20594588,"NCT00000620","one-to-one",NA
20594588,"NCT00000620","one-to-one",NA
20598967,"NCT00699998","one-to-one",NA
20598967,"NCT00699998","one-to-one",NA
20606150,"NCT00133692","one-to-one",NA
20617176,"NCT00055120","one-to-one",NA
20619242,"NCT00763893","one-to-one",NA
20619242,"NCT00763893","one-to-one",NA
20624650,"NCT01830673","one-to-one",NA
20633818,"NCT00389220","one-to-one",NA
20647200,"NCT00395135","one-to-one",NA
20647200,"NCT00395135","one-to-one",NA
20647575,"NCT00935077","one-to-one",NA
20656636,"NCT02639988","one-to-one",NA
20658749,"NCT00027352","one-to-one",NA
20663131,"NCT01061931","one-to-one",NA
20663131,"NCT01061931","one-to-one",NA
20678673,"NCT00478205","one-to-one",NA
20684825,"NCT00242944","one-to-one",NA
20684825,"NCT00242944","one-to-one",NA
20709820,"NCT00292552","one-to-one",NA
20738227,"NCT00658515","one-to-one",NA
20805430,"NCT00391872","one-to-one",NA
20805430,"NCT00391872","one-to-one",NA
20812949,"NCT00004978","one-to-one",NA
20817281,"NCT00335452","one-to-one",NA
20817281,"NCT00335452","one-to-one",NA
20817281,"NCT00335452","one-to-one",NA
20818903,"NCT00335452","one-to-one",NA
20818903,"NCT00335452","one-to-one",NA
20818903,"NCT00335452","one-to-one",NA
20823381,"NCT00226096","one-to-one",NA
20823381,"NCT00226096","one-to-one",NA
20823381,"NCT00226096","one-to-one",NA
20837881,"NCT00542503","one-to-one",NA
20837897,"NCT00145119","one-to-one",38
20837897,"NCT00145119","one-to-one",38
20843247,"NCT00292552","one-to-one",NA
20843990,"NCT00140751","one-to-one",NA
20846604,"NCT00390962","one-to-one",NA
20846604,"NCT00390962","one-to-one",NA
20855799,"NCT00381303","one-to-one",NA
20860820,"NCT01187056","one-to-one",NA
20860820,"NCT01187056","one-to-one",NA
20863951,"NCT00743925","one-to-one",NA
20863951,"NCT00743925","one-to-one",NA
20889909,"NCT00292552","one-to-one",NA
20942667,"NCT00307151","one-to-one",NA
20956208,"NCT00534651","one-to-one",NA
20961243,"NCT00530894","one-to-one",NA
20970896,"NCT00167700","one-to-one",NA
20970896,"NCT00167700","one-to-one",NA
20980201,"NCT00153101","one-to-one",NA
21060072,"NCT00391872","one-to-one",NA
21060072,"NCT00391872","one-to-one",NA
21060320,"NCT00707811","one-to-one",170
21060320,"NCT00968669","one-to-one",170
21060320,"NCT00707811","one-to-one",170
21070885,"NCT01061931","one-to-one",NA
21070885,"NCT01061931","one-to-one",NA
21071497,"NCT00171821","one-to-one",NA
21073365,"NCT00251251","one-to-one",NA
21091279,"NCT00458393","one-to-one",NA
21093611,"NCT00145119","one-to-one",19
21093611,"NCT00145119","one-to-one",19
21098449,"NCT00533039","one-to-one",NA
21146279,"NCT00449969","one-to-one",NA
21150563,"NCT00903682","one-to-one",NA
21156931,"NCT00133692","one-to-one",NA
21183746,"NCT00563901","one-to-one",NA
21183746,"NCT00563901","one-to-one",NA
21185503,"NCT00327691","one-to-one",NA
21185503,"NCT00327691","one-to-one",NA
21200437,"NCT00153101","one-to-one",NA
21205944,"NCT00389220","one-to-one",NA
21216880,"NCT00292552","one-to-one",NA
21245726,"NCT00027352","one-to-one",NA
21263104,"NCT00153101","one-to-one",NA
21300952,"NCT00089895","one-to-one",NA
21300952,"NCT00089895","one-to-one",NA
21303529,"NCT00566930","one-to-one",NA
21303529,"NCT00566930","one-to-one",NA
21334433,"NCT00791648","one-to-one",NA
21334433,"NCT00791648","one-to-one",NA
21357275,"NCT00810732","one-to-one",43
21357827,"NCT00153101","one-to-one",NA
21366473,"NCT00000620","one-to-one",NA
21366473,"NCT00000620","one-to-one",NA
21371282,"NCT00059306","one-to-one",NA
21371282,"NCT00059306","one-to-one",NA
21372283,"NCT00133692","one-to-one",NA
21393027,"NCT00292552","one-to-one",NA
21419704,"NCT00643890","one-to-one",NA
21436711,"NCT00870363","one-to-one",NA
21439048,"NCT00798369","one-to-one",NA
21473965,"NCT01178060","one-to-one",NA
21473965,"NCT01178060","one-to-one",NA
21481577,"NCT00292552","one-to-one",NA
21498674,"NCT00410163","one-to-one",NA
21504563,"NCT00976118","one-to-one",NA
21545948,"NCT00391872","one-to-one",NA
21545948,"NCT00391872","one-to-one",NA
21546436,"NCT00159887","one-to-one",NA
21546491,"NCT00235495","one-to-one",NA
21546491,"NCT00235495","one-to-one",NA
21546491,"NCT00235495","one-to-one",NA
21555815,"NCT00027352","one-to-one",NA
21566232,"NCT00119717","one-to-one",NA
21566232,"NCT00119717","one-to-one",NA
21593355,"NCT00167700","one-to-one",NA
21593355,"NCT00167700","one-to-one",NA
21612646,"NCT00478205","one-to-one",NA
21613427,"NCT00170326","one-to-one",NA
21618201,"NCT00559585","one-to-one",NA
21639811,"NCT00530894","one-to-one",NA
21641348,"NCT00047437","one-to-one",NA
21659435,"NCT00714740","one-to-one",NA
21659435,"NCT00714740","one-to-one",NA
21659657,"NCT00292552","one-to-one",NA
21663644,"NCT00000620","one-to-one",NA
21663644,"NCT00000620","one-to-one",NA
21676990,"NCT00464464","one-to-one",NA
21680850,"NCT00922311","one-to-one",NA
21685187,"NCT00292552","one-to-one",NA
21685437,"NCT00391872","one-to-one",NA
21685437,"NCT00391872","one-to-one",NA
21689411,"NCT00478205","one-to-one",NA
21690592,"NCT00237692","one-to-one",NA
21709065,"NCT00391872","one-to-one",NA
21709065,"NCT00391872","one-to-one",NA
21714604,"NCT00483808","one-to-one",NA
21716073,"NCT00708110","one-to-one",NA
21727288,"NCT00371384","one-to-one",NA
21727288,"NCT00371384","one-to-one",NA
21740078,"NCT01135212","one-to-one",NA
21740078,"NCT01258673","one-to-one",NA
21747013,"NCT00237692","one-to-one",NA
21768536,"NCT00389220","one-to-one",NA
21771823,"NCT01185392","one-to-one",NA
21778120,"NCT00292552","one-to-one",NA
21788624,"NCT00153101","one-to-one",NA
21799173,"NCT00130039","one-to-one",NA
21799173,"NCT00130039","one-to-one",NA
21799173,"NCT00130039","one-to-one",NA
21809337,"NCT00908245","one-to-one",NA
21812576,"NCT00390962","one-to-one",NA
21812576,"NCT00390962","one-to-one",NA
21821865,"NCT00122382","one-to-one",NA
21844482,"NCT00483808","one-to-one",NA
21844490,"NCT00237692","one-to-one",NA
21846154,"NCT00219102","one-to-one",NA
21848574,"NCT00903747","one-to-one",NA
21851904,"NCT00389220","one-to-one",NA
21852153,"NCT00604630","one-to-one",NA
21852153,"NCT00604630","one-to-one",NA
21852153,"NCT00604630","one-to-one",NA
21856867,"NCT00349349","one-to-one",NA
21857489,"NCT00027352","one-to-one",NA
21861537,"NCT00986154","one-to-one",NA
21879896,"NCT00394706","one-to-one",NA
21879897,"NCT00394706","one-to-one",NA
21884592,"NCT01083563","one-to-one",25
21884592,"NCT01083563","one-to-one",25
21884874,"NCT00145119","one-to-one",2
21884874,"NCT00145119","one-to-one",2
21886816,"NCT00159224","one-to-one",NA
21899409,"NCT00059306","one-to-one",NA
21899409,"NCT00059306","one-to-one",NA
21921092,"NCT00292552","one-to-one",NA
21937568,"NCT00513656","one-to-one",NA
21937568,"NCT00513656","one-to-one",NA
21945174,"NCT00167700","one-to-one",NA
21945174,"NCT00167700","one-to-one",NA
21947289,"NCT00153101","one-to-one",NA
21969009,"NCT00000542","one-to-one",NA
21969009,"NCT00000542","one-to-one",NA
21969009,"NCT00000542","one-to-one",NA
21969017,"NCT00530894","one-to-one",NA
21974760,"NCT00425997","one-to-one",NA
21974763,"NCT00406614","one-to-one",NA
21979491,"NCT00167700","one-to-one",NA
21979491,"NCT00167700","one-to-one",NA
21986283,"NCT00758524","one-to-one",NA
21991892,"NCT00292552","one-to-one",NA
21992747,"NCT00142805","one-to-one",NA
21998259,"NCT01216579","one-to-one",NA
22016505,"NCT00047437","one-to-one",NA
22019270,"NCT00000620","one-to-one",NA
22019270,"NCT00000620","one-to-one",NA
22024920,"NCT00837967","one-to-one",NA
22030252,"NCT00406614","one-to-one",NA
22034996,"NCT01014741","one-to-one",NA
22034996,"NCT01014741","one-to-one",NA
22049171,"NCT00000620","one-to-one",NA
22049171,"NCT00000620","one-to-one",NA
22054035,"NCT00292552","one-to-one",NA
22075451,"NCT00389220","one-to-one",NA
22080838,"NCT00292552","one-to-one",NA
22082198,"NCT01151137","one-to-one",NA
22082198,"NCT01151137","one-to-one",NA
22090660,"NCT00391872","one-to-one",NA
22090660,"NCT00391872","one-to-one",NA
22093210,"NCT00389220","one-to-one",NA
22114101,"NCT00047437","one-to-one",NA
22118061,"NCT01345409","one-to-one",NA
22118061,"NCT01345409","one-to-one",NA
22118987,"NCT00292552","one-to-one",NA
22129475,"NCT00716079","one-to-one",NA
22129475,"NCT00716079","one-to-one",NA
22129475,"NCT00716079","one-to-one",NA
22135385,"NCT00327691","one-to-one",NA
22135385,"NCT00327691","one-to-one",NA
22137073,"NCT00047437","one-to-one",NA
22149452,"NCT00801034","one-to-one",NA
22152723,"NCT00465985","one-to-one",NA
22157519,"NCT00098137","one-to-one",NA
22157519,"NCT00098137","one-to-one",NA
22163120,"NCT00535197","one-to-one",NA
22163120,"NCT01019733","one-to-one",NA
22163120,"NCT00761982","one-to-one",NA
22163120,"NCT00535197","one-to-one",NA
22163120,"NCT01019733","one-to-one",NA
22163120,"NCT00761982","one-to-one",NA
22163120,"NCT00535197","one-to-one",NA
22163120,"NCT01019733","one-to-one",NA
22163120,"NCT00761982","one-to-one",NA
22179034,"NCT01185392","one-to-one",NA
22179530,"NCT00391872","one-to-one",NA
22179530,"NCT00391872","one-to-one",NA
22179956,"NCT00000620","one-to-one",NA
22179956,"NCT00000620","one-to-one",NA
22186969,"NCT01247545","one-to-one",NA
22192672,"NCT00153101","one-to-one",NA
22198979,"NCT00151177","one-to-one",NA
22198979,"NCT00151177","one-to-one",NA
22198979,"NCT00151177","one-to-one",NA
22200381,"NCT00803257","one-to-one",NA
22200381,"NCT00803257","one-to-one",NA
22210755,"NCT00903682","one-to-one",NA
22217936,"NCT01058980","one-to-one",NA
22217936,"NCT01058980","one-to-one",NA
22222143,"NCT00780533","one-to-one",NA
22222143,"NCT00780533","one-to-one",NA
22228076,"NCT00524446","one-to-one",NA
22228076,"NCT00167700","one-to-one",NA
22228076,"NCT00524446","one-to-one",NA
22228076,"NCT00167700","one-to-one",NA
22228827,"NCT00464464","one-to-one",NA
22235820,"NCT00000542","one-to-one",NA
22235820,"NCT00000542","one-to-one",NA
22235820,"NCT00000542","one-to-one",NA
22258995,"NCT02436785","one-to-one",NA
22261200,"NCT00391872","one-to-one",NA
22261200,"NCT00391872","one-to-one",NA
22282104,"NCT00121485","one-to-one",NA
22282884,"NCT00868283","one-to-one",NA
22282884,"NCT00868283","one-to-one",NA
22282884,"NCT00868283","one-to-one",NA
22298167,"NCT00542503","one-to-one",NA
22308299,"NCT00530894","one-to-one",NA
22345126,"NCT00658515","one-to-one",NA
22349989,"NCT01423188","one-to-one",NA
22349989,"NCT01423188","one-to-one",NA
22354598,"NCT00159887","one-to-one",NA
22373905,"NCT00089895","one-to-one",NA
22373905,"NCT00089895","one-to-one",NA
22374637,"NCT00000620","one-to-one",NA
22374637,"NCT00000620","one-to-one",NA
22396585,"NCT00000542","one-to-one",NA
22396585,"NCT00000542","one-to-one",NA
22396585,"NCT00000542","one-to-one",NA
22403632,"NCT00330980","one-to-one",NA
22409644,"NCT00464464","one-to-one",NA
22421927,"NCT00603291","one-to-one",NA
22421927,"NCT00603291","one-to-one",NA
22424519,"NCT00530894","one-to-one",NA
22427534,"NCT00292552","one-to-one",NA
22431578,"NCT00000542","one-to-one",NA
22431578,"NCT00000542","one-to-one",NA
22431578,"NCT00000542","one-to-one",NA
22432114,"NCT00000620","one-to-one",NA
22432114,"NCT00000620","one-to-one",NA
22438232,"NCT01216579","one-to-one",NA
22440496,"NCT00389220","one-to-one",NA
22443427,"NCT00526474","one-to-one",NA
22443427,"NCT00526474","one-to-one",NA
22443427,"NCT00526474","one-to-one",NA
22443478,"NCT00530894","one-to-one",NA
22443479,"NCT00530894","one-to-one",NA
22450889,"NCT00000620","one-to-one",NA
22450889,"NCT00000620","one-to-one",NA
22450943,"NCT00330980","one-to-one",NA
22456661,"NCT01088958","one-to-one",NA
22457244,"NCT00483808","one-to-one",NA
22457291,"NCT01471795","one-to-one",NA
22457291,"NCT01471795","one-to-one",NA
22461416,"NCT00327691","one-to-one",NA
22461416,"NCT00327691","one-to-one",NA
22467989,"NCT00544752","one-to-one",NA
22467989,"NCT00544752","one-to-one",NA
22470539,"NCT00000542","one-to-one",NA
22470539,"NCT00000542","one-to-one",NA
22470539,"NCT00000542","one-to-one",NA
22490878,"NCT00000542","one-to-one",NA
22490878,"NCT00000542","one-to-one",NA
22490878,"NCT00000542","one-to-one",NA
22492366,"NCT01088958","one-to-one",NA
22495138,"NCT00153101","one-to-one",NA
22499292,"NCT00059306","one-to-one",NA
22499292,"NCT00059306","one-to-one",NA
22506623,"NCT00554619","one-to-one",NA
22512894,"NCT00235755","one-to-one",NA
22512894,"NCT00235755","one-to-one",NA
22515638,"NCT00000620","one-to-one",NA
22515638,"NCT00000620","one-to-one",NA
22523379,"NCT01061931","one-to-one",NA
22523379,"NCT01061931","one-to-one",NA
22539545,"NCT00130039","one-to-one",NA
22539545,"NCT00130039","one-to-one",NA
22539545,"NCT00130039","one-to-one",NA
22540524,"NCT01046942","one-to-one",NA
22541178,"NCT00747838","one-to-one",NA
22541178,"NCT00747838","one-to-one",NA
22541418,"NCT00164736","one-to-one",NA
22543981,"NCT00388622","one-to-one",NA
22546885,"NCT00391872","one-to-one",NA
22546885,"NCT00391872","one-to-one",NA
22547421,"NCT00867048","one-to-one",NA
22552566,"NCT00153101","one-to-one",NA
22555165,"NCT00038480","one-to-one",NA
22559260,"NCT01057563","one-to-one",NA
22559260,"NCT01057563","one-to-one",NA
22560018,"NCT00047437","one-to-one",NA
22572767,"NCT00478205","one-to-one",NA
22572911,"NCT00391872","one-to-one",NA
22572911,"NCT00391872","one-to-one",NA
22575316,"NCT00327691","one-to-one",NA
22575316,"NCT00327691","one-to-one",NA
22576673,"NCT00159835","one-to-one",NA
22576673,"NCT00327691","one-to-one",NA
22576673,"NCT00327691","one-to-one",NA
22615116,"NCT00717665","one-to-one",NA
22619083,"NCT00000620","one-to-one",NA
22619083,"NCT00000620","one-to-one",NA
22624038,"NCT00292552","one-to-one",NA
22645292,"NCT00089895","one-to-one",NA
22645292,"NCT00089895","one-to-one",NA
22646230,"NCT00000620","one-to-one",NA
22646230,"NCT00000620","one-to-one",NA
22649265,"NCT00164736","one-to-one",NA
22658702,"NCT00914095","one-to-one",NA
22658702,"NCT00914095","one-to-one",NA
22678090,"NCT00226096","one-to-one",NA
22678090,"NCT00226096","one-to-one",NA
22678090,"NCT00226096","one-to-one",NA
22681705,"NCT00546728","one-to-one",NA
22696176,"NCT00292552","one-to-one",NA
22709750,"NCT00237692","one-to-one",NA
22716976,"NCT00307151","one-to-one",NA
22719022,"NCT00391872","one-to-one",NA
22719022,"NCT00391872","one-to-one",NA
22723577,"NCT00000620","one-to-one",NA
22723577,"NCT00000620","one-to-one",NA
22726593,"NCT00770003","one-to-one",NA
22744655,"NCT00226096","one-to-one",NA
22744655,"NCT00226096","one-to-one",NA
22744655,"NCT00226096","one-to-one",NA
22744746,"NCT00388622","one-to-one",NA
22750086,"NCT00059306","one-to-one",NA
22750086,"NCT00059306","one-to-one",NA
22764211,"NCT00761982","one-to-one",NA
22764211,"NCT00761982","one-to-one",NA
22764211,"NCT00761982","one-to-one",NA
22773109,"NCT00047437","one-to-one",NA
22777623,"NCT01051960","one-to-one",NA
22777623,"NCT01051960","one-to-one",NA
22783896,"NCT00699998","one-to-one",NA
22783896,"NCT00699998","one-to-one",NA
22788915,"NCT00251251","one-to-one",NA
22790881,"NCT00406614","one-to-one",NA
22810982,"NCT01224535","one-to-one",NA
22818074,"NCT00530894","one-to-one",NA
22826359,"NCT00059306","one-to-one",NA
22826359,"NCT00059306","one-to-one",NA
22829023,"NCT00153101","one-to-one",NA
22829927,"NCT00274430","one-to-one",NA
22836031,"NCT00167700","one-to-one",NA
22836031,"NCT00167700","one-to-one",NA
22837378,"NCT00292552","one-to-one",NA
22850357,"NCT00794885","one-to-one",NA
22851113,"NCT00047437","one-to-one",NA
22860080,"NCT00433030","one-to-one",NA
22866767,"NCT00133692","one-to-one",NA
22880942,"NCT00151814","one-to-one",NA
22896584,"NCT00251251","one-to-one",NA
22910894,"NCT00130039","one-to-one",NA
22910894,"NCT00130039","one-to-one",NA
22910894,"NCT00130039","one-to-one",NA
22911697,"NCT00027352","one-to-one",NA
22911697,"NCT00004978","one-to-one",NA
22913289,"NCT00292552","one-to-one",NA
22913568,"NCT01061931","one-to-one",NA
22913568,"NCT01061931","one-to-one",NA
22920307,"NCT01159639","one-to-one",NA
22920912,"NCT00491036","one-to-one",NA
22920912,"NCT00491036","one-to-one",NA
22920930,"NCT00699998","one-to-one",NA
22920930,"NCT00699998","one-to-one",NA
22930699,"NCT00478205","one-to-one",NA
22931315,"NCT00059306","one-to-one",NA
22931315,"NCT00059306","one-to-one",NA
22932716,"NCT00526474","one-to-one",NA
22932716,"NCT00526474","one-to-one",NA
22932716,"NCT00526474","one-to-one",NA
22932717,"NCT00887588","one-to-one",NA
22938715,"NCT00292552","one-to-one",NA
22944873,"NCT02147405","one-to-one",NA
22958084,"NCT01429948","one-to-one",NA
22958084,"NCT01429948","one-to-one",NA
22958084,"NCT01429948","one-to-one",NA
22960277,"NCT00780533","one-to-one",NA
22960277,"NCT00780533","one-to-one",NA
22972364,"NCT00242944","one-to-one",NA
22972364,"NCT00242944","one-to-one",NA
22980299,"NCT00391872","one-to-one",NA
22980299,"NCT00391872","one-to-one",NA
22980305,"NCT00042081","one-to-one",NA
22991347,"NCT00391872","one-to-one",NA
22991347,"NCT00391872","one-to-one",NA
22995880,"NCT00089895","one-to-one",NA
22995880,"NCT00089895","one-to-one",NA
22995885,"NCT00530894","one-to-one",NA
23018440,"NCT00027352","one-to-one",NA
23021325,"NCT00391872","one-to-one",NA
23021325,"NCT00391872","one-to-one",NA
23031172,"NCT00201968","one-to-one",NA
23033246,"NCT00000620","one-to-one",NA
23033246,"NCT00000620","one-to-one",NA
23034910,"NCT00059306","one-to-one",NA
23034910,"NCT00059306","one-to-one",NA
23040114,"NCT00047437","one-to-one",NA
23041595,"NCT01098045","one-to-one",NA
23048170,"NCT01106196","one-to-one",NA
23048170,"NCT01106196","one-to-one",NA
