name,code,ngram,cui,term,semtype
Altered smell sensation,10001853,sensation,C0542538,sensation,{'T033'}
Altered smell sensation,10001853,smell,C0037361,smell,{'T040'}
Anaemia,10002034,Anaemia,C0002871,Anaemia,{'T047'}
Anal bleeding,10049563,bleeding,C0019080,bleeding,{'T046'}
Anal bleeding,10049563,Anal,C0003461,Anal,{'T023'}
Anal fissure,10002153,Anal fissure,C0016167,Anal fissure,{'T047'}
Anal pain,10002167,Anal pain,C0238637,Anal pain,{'T184'}
Anaphylactic reaction,10002198,Anaphylactic reaction,C4316895,anaphylactic reaction,{'T046'}
Anemia,10002272,Anemia,C0002871,Anemia,{'T047'}
Anger,10002368,Anger,C0002957,Anger,{'T041'}
Angina attack,10002377,Angina,C0002962,Angina,{'T184'}
Angina attack,10002377,attack,C1304680,attack,{'T033'}
Anginal pain,10002391,pain,C0030193,pain,{'T184'}
Anginal pain,10002391,Anginal,C0002962,Angina,{'T184'}
Ankle fracture,10002544,Ankle fracture,C0159877,Ankle fracture,{'T037'}
Ankle swelling,10002553,Ankle swelling,C0235439,Ankle swelling,{'T046'}
Anxiety,10002855,Anxiety,C0003467,Anxiety,{'T048'}
Anxiety attack,10002856,Anxiety,C0003467,Anxiety,{'T048'}
Anxiety attack,10002856,attack,C1304680,attack,{'T033'}
Anxious mood,10002875,Anxious mood,C2239195,Anxious mood,{'T033'}
Aortic aneurysm,10002882,Aortic,C0003483,Aortic,{'T023'}
Aortic valve disease,10061589,Aortic valve disease,C1260873,Aortic valve disease,{'T047'}
Aortic valve incompetence,10002915,Aortic valve,C0003501,Aortic valve,{'T023'}
Aortic valve incompetence,10002915,incompetence,C0231189,incompetence,{'T046'}
Apathy,10002942,Apathy,C0085632,Apathy,{'T048'}
Appendicitis,10003011,Appendicitis,C0003615,Appendicitis,{'T047'}
Appetite lost,10003028,Appetite,C0003618,Appetite,{'T040'}
Application site blister,10053414,Application,C1947919,Application,{'T170'}
Application site blister,10053414,blister,C0344311,blister,{'T033'}
Application site burn,10065059,Application,C1947919,Application,{'T170'}
Application site burn,10065059,burn,C0006434,burn,{'T037'}
Application site burning,10048942,Application,C1947919,Application,{'T170'}
Application site burning,10048942,burning,C0085624,burning,{'T184'}
Application site discharge,10052162,Application,C1947919,Application,{'T170'}
Application site discharge,10052162,discharge,C0012621,discharge,{'T031'}
Application site dryness,10048943,Application,C1947919,Application,{'T170'}
Application site infection,10049041,site infection,C0578491,site infection,{'T047'}
Application site infection,10049041,Application,C1947919,Application,{'T170'}
Application site inflammation,10049042,inflammation,C0021368,inflammation,{'T046'}
Application site inflammation,10049042,Application,C1947919,Application,{'T170'}
Application site irritation,10003046,Application,C1947919,Application,{'T170'}
Application site irritation,10003046,irritation,C1706307,Irritation,{'T033'}
Application site itching,10003047,Application,C1947919,Application,{'T170'}
Application site itching,10003047,itching,C0033774,itching,{'T033'}
Application site pain,10003051,Application,C1947919,Application,{'T170'}
Application site pain,10003051,pain,C0030193,pain,{'T184'}
Application site rash,10003054,Application,C1947919,Application,{'T170'}
Application site rash,10003054,rash,C0015230,rash,{'T184'}
Application site reaction,10003055,Application,C1947919,Application,{'T170'}
Application site reaction,10003055,reaction,C0000828,Abreaction,{'T041'}
Application site redness,10003058,Application,C1947919,Application,{'T170'}
Application site redness,10003058,redness,C0332575,redness,{'T033'}
Application site swelling,10053424,Application,C1947919,Application,{'T170'}
Application site swelling,10053424,swelling,C0038999,swelling,{'T033'}
Application site ulcer,10003059,Application,C1947919,Application,{'T170'}
Application site ulcer,10003059,ulcer,C0041582,ulcer,{'T046'}
Application site warmth,10003060,Application,C1947919,Application,{'T170'}
Application site warmth,10003060,warmth,C0392197,warmth,{'T039'}
Arm discomfort,10049877,discomfort,C2364135,discomfort,{'T184'}
Arm discomfort,10049877,Arm,C0446516,Arm,{'T029'}
Arm paralysis,10003098,paralysis,C0522224,paralysis,{'T033'}
Arm paralysis,10003098,Arm,C0446516,Arm,{'T029'}
Arrhythmia,10003119,Arrhythmia,C0003811,Arrhythmia,{'T047'}
Arteriosclerosis,10003210,Arteriosclerosis,C0003850,Arteriosclerosis,{'T047'}
Arthritis,10003246,Arthritis,C0003864,Arthritis,{'T047'}
Asthma,10003553,Asthma,C0004096,Asthma,{'T047'}
Asthmatic attack,10003566,attack,C1304680,attack,{'T033'}
Asthmatic attack,10003566,Asthmatic,C0004096,asthmatic,{'T047'}
Astigmatism,10003569,Astigmatism,C0004106,Astigmatism,{'T047'}
Atherosclerosis,10003601,Atherosclerosis,C0004153,Atherosclerosis,{'T047'}
Atrial fibrillation,10003658,Atrial fibrillation,C0004238,Atrial fibrillation,{'T047'}
Attention deficit disorder,10003731,Attention deficit disorder,C0041671,Attention deficit disorder,{'T048'}
Attention deficit/hyperactivity disorder,10003736,hyperactivity disorder,C1263846,hyperactivity disorder,{'T048'}
Attention deficit/hyperactivity disorder,10003736,Attention deficit,C0041671,Attention deficit,{'T048'}
Auditory hallucinations,10003785,Auditory hallucinations,C0233762,Auditory hallucinations,{'T184'}
Aura,10003791,Aura,C0236018,Aura,{'T033'}
Autism,10003805,Autism,C0004352,Autism,{'T048'}
Back ache,10003978,Back,C0004600,Back,{'T029'}
Back ache,10003978,ache,C0234238,ache,{'T184'}
Back discomfort,10003982,discomfort,C2364135,discomfort,{'T184'}
Back discomfort,10003982,Back,C0004600,Back,{'T029'}
Back injury,10003986,injury,C3263723,injury,{'T037'}
Back injury,10003986,Back,C0004600,Back,{'T029'}
Back muscle spasms,10067893,muscle spasms,C0037763,muscle spasms,{'T184'}
Back muscle spasms,10067893,Back,C0004600,Back,{'T029'}
Back pain,10003988,Back pain,C0004604,Back pain,{'T184'}
Bacterial infection,10060945,Bacterial infection,C0004623,Bacterial infection,{'T047'}
Bad breath,10004062,Bad breath,C0018520,Bad breath,{'T184'}
Bad dreams,10004063,dreams,C0013117,dreams,{'T041'}
Bad mood,10004064,mood,C0026516,mood,{'T041'}
Balance difficulty,10004070,difficulty,C1299586,difficulty,{'T033'}
Balance difficulty,10004070,Balance,C0014653,Balance,{'T040'}
Basal cell carcinoma,10004146,Basal cell carcinoma,C0007117,Basal cell carcinoma,{'T191'}
Bed sore,10004196,Bed sore,C0011127,Bed sore,{'T047'}
Bed wetting,10004197,Bed wetting,C0270327,bed wetting,{'T048'}
Belching,10004222,Belching,C0014724,Belching,{'T184'}
Bell's palsy,10004223,Bell's palsy,C0376175,Bell's palsy,{'T047'}
Belly ache,10004226,Belly,C0224086,Belly,{'T023'}
Belly ache,10004226,ache,C0234238,ache,{'T184'}
Binge eating,10004716,Binge eating,C0596170,Binge eating,{'T048'}
Bipolar disorder,10057667,Bipolar disorder,C0005586,Bipolar disorder,{'T048'}
Birth defects,10048305,Birth defects,C4019266,Birth defects,{'T201'}
Bizarre dreams,10004969,dreams,C0013117,dreams,{'T041'}
Black stools,10004977,stools,C0015733,stools,{'T031'}
Blackout,10004982,Blackout,C0312422,Blackout,{'T184'}
Bladder cancer,10005003,Bladder cancer,C0005684,Bladder cancer,{'T191'}
Bladder discomfort,10005034,discomfort,C2364135,discomfort,{'T184'}
Bladder discomfort,10005034,Bladder,C0005682,Bladder,{'T023'}
Bladder infection,10005047,Bladder infection,C0600041,Bladder infection,{'T047'}
Bladder pain,10005063,Bladder pain,C0232849,Bladder pain,{'T184'}
Bladder spasm,10048994,Bladder spasm,C0426390,Bladder spasm,{'T184'}
Bleeding,10005103,Bleeding,C0019080,Bleeding,{'T046'}
Bleeding gastric ulcer,10005115,Bleeding gastric ulcer,C0341164,Bleeding gastric ulcer,{'T047'}
Bleeding menstrual heavy,10005123,menstrual,C0025344,menstrual,{'T040'}
Bleeding menstrual heavy,10005123,Bleeding,C0019080,Bleeding,{'T046'}
Bleeding tendency,10005134,Bleeding tendency,C1458140,Bleeding tendency,{'T047'}
Blind,10005161,Blind,C0456909,Blind,{'T033'}
Blindness,10005169,Blindness,C0456909,Blindness,{'T033'}
Blindness unilateral,10005186,Blindness,C0456909,Blindness,{'T033'}
Blister,10005191,Blister,C0344311,Blister,{'T033'}
Blistering of mouth,10005215,Blistering,C0344311,blistering,{'T033'}
Blisters,10005216,Blisters,C0344311,Blister,{'T033'}
Bloated feeling,10005264,Bloated feeling,C0857257,Bloated feeling,{'T184'}
Blood blister,10005372,blister,C0344311,blister,{'T033'}
Blood blister,10005372,Blood,C0005767,Blood,{'T031'}
Blood glucose decreased,10005555,Blood glucose decreased,C0595883,Blood glucose decreased,{'T033'}
Blood glucose increased,10005557,Blood glucose increased,C0595877,Blood glucose increased,{'T033'}
Blood in stool,10005603,Blood in stool,C1321898,Blood in stool,{'T184'}
Blood in urine,10005604,Blood in urine,C0018965,Blood in urine,{'T047'}
Blood pressure high,10005747,Blood pressure,C0005823,Blood pressure,{'T040'}
Blood pressure inadequately controlled,10051128,Blood pressure,C0005823,Blood pressure,{'T040'}
Blood pressure inadequately controlled,10051128,controlled,C2911690,Controlled,{'T033'}
Blood pressure low,10005753,Blood pressure,C0005823,Blood pressure,{'T040'}
Blood pressure low,10005753,low,C1550472,low,{'T170'}
Blood sugar decreased,10005808,decreased,C0442797,decreased,{'T033'}
Blood sugar decreased,10005808,Blood,C0005767,Blood,{'T031'}
Blood sugar decreased,10005808,sugar,C0242209,sugar,{'T121'}
Blood sugar decreased,10005808,sugar,C0242209,sugar,{'T109'}
Blood sugar increased,10005809,Blood,C0005767,Blood,{'T031'}
Blood sugar increased,10005809,sugar,C0242209,sugar,{'T109'}
Blood sugar increased,10005809,sugar,C0242209,sugar,{'T121'}
Blood sugar increased,10005809,increased,C0151576,increased ck,{'T033'}
Bloodshot eye,10005871,Bloodshot eye,C0005858,Bloodshot eye,{'T184'}
Bloody diarrhea,10005872,Bloody diarrhea,C0151594,Bloody diarrhea,{'T047'}
Bloody diarrhoea,10055957,Bloody diarrhoea,C0151594,Bloody diarrhoea,{'T047'}
Bloody discharge,10057687,discharge,C0012621,discharge,{'T031'}
Bloody discharge,10057687,Bloody,C4554530,Bloody,{'T033'}
Bloody stool,10005873,Bloody stool,C1321898,Bloody stool,{'T184'}
Bloody vaginal discharge,10049851,vaginal discharge,C0227791,vaginal discharge,{'T033'}
Bloody vaginal discharge,10049851,Bloody,C4554530,Bloody,{'T033'}
Blue lips,10005881,Blue,C3810842,Blue,{'T033'}
Blue lips,10005881,lips,C0023759,lips,{'T023'}
Blurred vision,10005886,Blurred vision,C0344232,Blurred vision,{'T033'}
Body hair increased,10053924,Body,C1551342,Body,{'T170'}
Body hair increased,10053924,hair,C0018494,hair,{'T023'}
Body hair increased,10053924,increased,C0151576,increased ck,{'T033'}
Body odor,10005901,Body odor,C0085595,Body odor,{'T033'}
Body odour,10005902,Body odour,C0085595,Body odour,{'T033'}
Boil,10005914,Boil,C0242301,Boil,{'T047'}
Bone cancer,10005949,cancer,C0006826,cancer,{'T191'}
Bone cancer,10005949,Bone,C0262950,Bone,{'T023'}
Bone fragile,10005966,Bone,C0262950,Bone,{'T023'}
Bone loss,10065687,Bone,C0262950,Bone,{'T023'}
Bone marrow failure,10065553,Bone marrow failure,C1855710,Bone marrow failure,{'T033'}
Bone pain,10006002,Bone pain,C0151825,Bone pain,{'T184'}
Bone swelling,10053631,swelling,C0038999,swelling,{'T033'}
Bone swelling,10053631,Bone,C0262950,Bone,{'T023'}
Bowel discomfort,10054248,discomfort,C2364135,discomfort,{'T184'}
Bowel discomfort,10054248,Bowel,C0021853,Bowel,{'T023'}
Bowel incontinence,10050492,Bowel incontinence,C0015732,Bowel incontinence,{'T047'}
Bowel movement irregularity,10063541,Bowel,C0021853,Bowel,{'T023'}
Bowel movement irregularity,10063541,irregularity,C1857644,RPE irregularity,{'T033'}
Bowel movement irregularity,10063541,movement,C0026649,Movement,{'T040'}
Bowel obstruction,10006055,Bowel obstruction,C0021843,Bowel obstruction,{'T047'}
Brain damage,10056389,Brain damage,C0270611,Brain damage,{'T037'}
Brain death,10049054,Brain death,C0006110,Brain death,{'T046'}
Brain injury,10067967,Brain injury,C0270611,Brain injury,{'T037'}
Brain tumor,10006153,Brain tumor,C0006118,Brain tumor,{'T191'}
Brain tumour,10061030,Brain tumour,C0006118,Brain tumour,{'T191'}
Breast cancer,10006187,Breast cancer,C0006142,Breast cancer,{'T191'}
Breast cancer metastatic,10055113,cancer metastatic,C0346957,cancer metastatic,{'T191'}
Breast cancer metastatic,10055113,Breast,C0006141,Breast,{'T023'}
Breast cancer recurrent,10006198,cancer recurrent,C0549379,cancer recurrent,{'T191'}
Breast cancer recurrent,10006198,Breast,C0006141,Breast,{'T023'}
Breast cyst,10006220,Breast,C0006141,Breast,{'T023'}
Breast cyst,10006220,cyst,C0010709,cyst,{'T047'}
Breast discharge,10006223,discharge,C0012621,discharge,{'T031'}
Breast discharge,10006223,Breast,C0006141,Breast,{'T023'}
Breast discomfort,10049872,discomfort,C2364135,discomfort,{'T184'}
Breast discomfort,10049872,Breast,C0006141,Breast,{'T023'}
Breast enlargement,10006242,enlargement,C0020564,enlargement,{'T046'}
Breast enlargement,10006242,Breast,C0006141,Breast,{'T023'}
Breast enlargement male,10006244,enlargement,C0020564,enlargement,{'T046'}
Breast enlargement male,10006244,Breast,C0006141,Breast,{'T023'}
Breast mass,10006272,Breast,C0006141,Breast,{'T023'}
Breast mass,10006272,mass,C0577559,mass,{'T033'}
Breast pain,10006298,Breast pain,C0024902,Breast pain,{'T184'}
Breast size decrease,10006309,Breast size,C0425782,Breast size,{'T033'}
Breast size decrease,10006309,decrease,C0442797,decreased,{'T033'}
Breast swelling,10006312,swelling,C0038999,swelling,{'T033'}
Breast swelling,10006312,Breast,C0006141,Breast,{'T023'}
Breast tenderness,10006313,tenderness,C0234233,tenderness,{'T184'}
Breast tenderness,10006313,Breast,C0006141,Breast,{'T023'}
Breathlessness,10006345,Breathlessness,C0013404,Breathlessness,{'T184'}
Brittle nails,10006373,Brittle nails,C0546956,Brittle nails,{'T033'}
Brittle teeth,10006374,Brittle,C3810845,Brittle,{'T033'}
Brittle teeth,10006374,teeth,C0040426,teeth,{'T023'}
Broken leg,10006391,leg,C1140621,leg,{'T023'}
Bronchitis,10006451,Bronchitis,C0006277,Bronchitis,{'T047'}
Brown urine,10058129,urine,C0042036,urine,{'T031'}
Bruise,10006502,Bruise,C0009938,Bruise,{'T037'}
Bruising,10006504,Bruising,C0009938,Bruising,{'T037'}
Bruising of arm,10006505,Bruising,C0009938,Bruising,{'T037'}
Bruising of arm,10006505,arm,C0446516,arm,{'T029'}
Bruising of face,10006507,Bruising,C0009938,Bruising,{'T037'}
Bruising of face,10006507,face,C0015450,face,{'T029'}
Bruising of leg,10006510,Bruising,C0009938,Bruising,{'T037'}
Bruising of leg,10006510,leg,C1140621,leg,{'T023'}
Bulimia,10006549,Bulimia,C0006370,Bulimia,{'T048'}
Burn,10006634,Burn,C0006434,Burn,{'T037'}
Burning eyes,10006774,Burning,C0085624,Burning,{'T184'}
Burning eyes,10006774,eyes,C0015392,eyes,{'T023'}
Burning foot,10049854,Burning,C0085624,Burning,{'T184'}
Burning foot,10049854,foot,C0016504,foot,{'T023'}
Burning in throat,10006778,Burning,C0085624,Burning,{'T184'}
Burning in throat,10006778,throat,C0031354,throat,{'T023'}
Burning leg,10049857,Burning,C0085624,Burning,{'T184'}
Burning leg,10049857,leg,C1140621,leg,{'T023'}
Burning mouth,10049858,Burning,C0085624,Burning,{'T184'}
Burning rectal,10006783,Burning,C0085624,Burning,{'T184'}
Burning sensation,10006784,Burning sensation,C0085624,Burning sensation,{'T184'}
Burning sensation in face,10006787,Burning sensation,C0085624,Burning sensation,{'T184'}
Burning sensation in face,10006787,face,C0015450,face,{'T029'}
Burning tongue,10006793,Burning tongue,C0241426,Burning tongue,{'T047'}
Burping,10006804,Burping,C0014724,Burping,{'T184'}
Bursitis,10006811,Bursitis,C0006444,Bursitis,{'T047'}
Buttock pain,10048677,Buttock pain,C0231710,Buttock pain,{'T184'}
Cancer,10007050,Cancer,C0006826,Cancer,{'T191'}
Cardiac arrest,10007515,Cardiac arrest,C0018790,Cardiac arrest,{'T047'}
Cardiac discomfort,10054211,discomfort,C2364135,discomfort,{'T184'}
Cardiac discomfort,10054211,Cardiac,C0018787,Cardiac,{'T023'}
Cardiac pain,10054231,Cardiac pain,C0423636,Cardiac pain,{'T184'}
Cardiac valve disease,10061406,Cardiac valve,C0018826,Cardiac valve,{'T023'}
Cardiac valve disease,10061406,disease,C0012634,disease,{'T047'}
Cardio-respiratory arrest,10007617,respiratory arrest,C0162297,respiratory arrest,{'T046'}
Carpal tunnel syndrome,10007697,Carpal tunnel syndrome,C0007286,Carpal tunnel syndrome,{'T047'}
Cataract,10007739,Cataract,C1962983,Cataract,{'T033'}
Cataracts,10007771,Cataracts,C0521707,Cataracts,{'T047'}
Catheter site infection,10056520,site infection,C0578491,site infection,{'T047'}
Catheter site infection,10056520,Catheter,C0085590,Catheter,{'T074'}
Catheter site pain,10052268,Catheter,C0085590,Catheter,{'T074'}
Catheter site pain,10052268,pain,C0030193,pain,{'T184'}
Celiac disease,10007864,Celiac disease,C0007570,Celiac disease,{'T047'}
Cellulitis,10007882,Cellulitis,C0007642,Cellulitis,{'T046'}
Change in bowel habits,10008395,Change in bowel habits,C0278008,Change in bowel habits,{'T184'}
Chapped lips,10049047,Chapped lips,C0424489,Chapped lips,{'T033'}
Chapped skin,10008405,Chapped skin,C0549202,chapped skin,{'T047'}
Character change,10008406,Character,C0007952,Character,{'T041'}
Chest discomfort,10008469,discomfort,C2364135,discomfort,{'T184'}
Chest discomfort,10008469,Chest,C0817096,Chest,{'T029'}
Chest infection,10008477,infection,C0009450,infection,{'T047'}
Chest infection,10008477,Chest,C0817096,Chest,{'T029'}
Chest pain,10008479,Chest pain,C0008031,Chest pain,{'T184'}
Chest pain - cardiac,10008481,Chest pain - cardiac,C0002962,Chest pain - cardiac,{'T184'}
Chest pressure,10008486,Chest pressure,C0438716,Chest pressure,{'T184'}
Chest tightness,10008492,Chest tightness,C0232292,Chest tightness,{'T184'}
Chickenpox,10008505,Chickenpox,C0008049,Chickenpox,{'T047'}
Chills,10008531,Chills,C0085593,Chills,{'T184'}
Choke on medication,10059278,medication,C0013227,medication,{'T121'}
Choke on medication,10059278,Choke,C1706556,Choke,{'T074'}
Choking,10008589,Choking,C0008301,Choking,{'T046'}
Choking sensation,10008590,Choking sensation,C0546947,Choking sensation,{'T184'}
Cholesterol levels raised,10008663,Cholesterol,C0201950,Cholesterol,{'T059'}
Chronic fatigue,10066564,Chronic fatigue,C0518656,Chronic fatigue,{'T033'}
Chronic fatigue syndrome,10008874,Chronic fatigue syndrome,C0015674,Chronic fatigue syndrome,{'T047'}
Chronic obstructive pulmonary disease,10009033,Chronic obstructive pulmonary disease,C0024117,Chronic obstructive pulmonary disease,{'T047'}
Chronic pain,10049475,Chronic pain,C0150055,Chronic pain,{'T184'}
Clammy,10009231,Clammy,C0392162,Clammy,{'T033'}
Claustrophobia,10009244,Claustrophobia,C0008909,Claustrophobia,{'T048'}
Cleft palate,10009269,palate,C0700374,palate,{'T023'}
Clotting disorder,10064732,disorder,C0012634,disorder,{'T047'}
Clotting disorder,10064732,Clotting,C1328723,clotting,{'T039'}
Cloudy vision,10060817,vision,C0042789,vision,{'T040'}
Clumsiness,10009696,Clumsiness,C0233844,Clumsiness,{'T184'}
Coeliac disease,10009839,disease,C0012634,disease,{'T047'}
Cognitive impairment,10009846,Cognitive impairment,C0338656,Cognitive impairment,{'T048'}
Cold,10009851,Cold,C0009443,Cold,{'T047'}
Cold feet,10009859,Cold feet,C0424741,Cold feet,{'T033'}
Cold hands,10009860,Cold hands,C0424740,Cold hands,{'T033'}
Cold hands & feet,10009861,Cold hands,C0424740,Cold hands,{'T033'}
Cold hands & feet,10009861,feet,C0016504,feet,{'T023'}
Cold sores,10009865,Cold,C0009443,Cold,{'T047'}
Cold sweat,10009866,sweat,C0038984,sweat,{'T031'}
Cold sweat,10009866,Cold,C0009443,Cold,{'T047'}
Cold symptoms,10009867,Cold,C0009443,Cold,{'T047'}
Cold symptoms,10009867,symptoms,C1457887,symptom,{'T184'}
Coldness,10009871,Coldness,C0812387,coldness,{'T033'}
Coldness of limbs,10009874,limbs,C0015385,limbs,{'T023'}
Coldness of limbs,10009874,Coldness,C0812387,coldness,{'T033'}
Colic,10009881,Colic,C0232488,Colic,{'T033'}
Colitis,10009887,Colitis,C0009319,Colitis,{'T047'}
Collapse of lung,10009913,Collapse of lung,C0004144,Collapse of lung,{'T046'}
Colon cancer,10009944,Colon cancer,C0007102,Colon cancer,{'T191'}
Colonic polyp,10010003,Colonic polyp,C2911243,Colonic polyps,{'T033'}
Coma,10010071,Coma,C0009421,Coma,{'T047'}
Comatose,10058472,Comatose,C0009421,Comatose,{'T047'}
Common cold,10010106,Common cold,C0009443,Common cold,{'T047'}
Concentration loss,10010251,Concentration,C0086045,Concentration,{'T041'}
Concussion,10010254,Concussion,C0006107,Concussion,{'T037'}
Confused,10010298,Confused,C0009676,Confused,{'T048'}
Confusion,10010300,Confusion,C0009676,Confusion,{'T048'}
Congestive heart failure,10010684,Congestive heart failure,C0018802,Congestive heart failure,{'T047'}
Conjunctival bleeding,10010700,bleeding,C0019080,bleeding,{'T046'}
Conjunctival bleeding,10010700,Conjunctival,C0009758,Conjunctiva,{'T023'}
Conjunctivitis,10010741,Conjunctivitis,C0009763,Conjunctivitis,{'T047'}
Constipation,10010774,Constipation,C0009806,Constipation,{'T184'}
Constricted pupils,10010779,Constricted pupils,C0026205,Constricted pupils,{'T047'}
Convulsion,10010904,Convulsion,C0036572,Convulsion,{'T184'}
Corneal inflammation,10011023,Corneal inflammation,C0022568,Corneal inflammation,{'T047'}
Coronary artery disease,10011078,Coronary artery disease,C1956346,Coronary artery disease,{'T047'}
Cough,10011224,Cough,C0010200,Cough,{'T184'}
Coughing,10011232,Coughing,C0010200,Coughing,{'T184'}
Coughing blood,10011234,Coughing,C0010200,Coughing,{'T184'}
Coughing blood,10011234,blood,C0005767,blood,{'T031'}
Cracked lips,10049347,Cracked,C1706353,Cracked,{'T033'}
Cracked lips,10049347,lips,C0023759,lips,{'T023'}
Cramp,10011285,Cramp,C0026821,Cramp,{'T184'}
Cramp in hand,10011287,Cramp,C0026821,Cramp,{'T184'}
Cramp in hand,10011287,hand,C0018563,hand,{'T023'}
Cramp of limb,10011292,Cramp of limb,C0010263,Cramp of limb,{'T184'}
Crawling sensation of skin,10011326,sensation,C0542538,sensation,{'T033'}
Crohn's disease,10011401,Crohn's disease,C0010346,Crohn's disease,{'T047'}
Cushing's syndrome,10011652,Cushing's syndrome,C0010481,Cushing's syndrome,{'T047'}
Cyst,10011732,Cyst,C0010709,Cyst,{'T047'}
Cystitis,10011781,Cystitis,C0010692,Cystitis,{'T047'}
Daydreaming,10057315,Daydreaming,C0011018,daydreaming,{'T041'}
Daytime sleepiness,10011865,sleepiness,C0013144,sleepiness,{'T033'}
Deafness,10011878,Deafness,C0011053,Deafness,{'T033'}
Deafness temporary,10011899,temporary,C3245481,temporary,{'T170'}
Deafness temporary,10011899,Deafness,C0011053,Deafness,{'T033'}
Decreased activity,10011953,Decreased activity,C0474395,increased activity,{'T033'}
Decreased interest,10011971,interest,C0543488,interest,{'T041'}
Decreased interest,10011971,Decreased,C0442797,decreased,{'T033'}
Decreased muscle tone,10011973,Decreased muscle tone,C0026827,Decreased muscle tone,{'T033'}
Defaecation urgency,10012110,Defaecation,C0011135,defaecation,{'T040'}
Defecation urgency,10012114,Defecation,C0011135,Defecation,{'T040'}
