"nct_id","query","brief_title","description","brief_title_conc_list","brief_summ_conc_list","total_subjects_affected","total_subjects_at_risk"
"NCT00027352","antiretroviral therapy first time_pageRank.csv","A Comparison of Two Ways to Manage Anti-HIV Treatment (The SMART Study)","~     The purpose of this study is to compare two ways of using anti-HIV drugs to help health care~     providers and patients decide how to best use anti-HIV treatments over many years. Many~     health care providers now treat patients with daily drugs to keep the viral load as low as~     possible. This approach helps patients with CD4 counts less than 200-250 cells/mm3 live~     longer without serious diseases. But it is not known if this is the best way to treat~     patients with higher CD4 counts. There is information suggesting that these patients may be~     able to wait to use anti-HIV drugs while CD4 counts are above 250 cells/mm3. Because this~     study will be carried out over several years, it will provide information on the long-term~     advantages and disadvantages of these two treatment strategies.~   ","C0376495","C0332149;C3687832;C3687832;C3687832;C0012634;C0376495;C2598115;C0746919",0,0
"NCT00038480","HIV infection Treatment naive_page_rank.csv","Safety and Effectiveness of Lopinavir/Ritonavir in HIV Infected Infants","~     The purpose of this study is to find out if the drug lopinavir/ritonavir (LPV/RTV) is safe~     and well tolerated in HIV infected infants. This study will also determine the most effective~     dose of LPV/RTV for infants.~   ","C0674432;C0292818;C0439663","C0674432;C0292818;C0439663",0,0
"NCT00038480","HIV infection seronegativity_page_rank.csv","Safety and Effectiveness of Lopinavir/Ritonavir in HIV Infected Infants","~     The purpose of this study is to find out if the drug lopinavir/ritonavir (LPV/RTV) is safe~     and well tolerated in HIV infected infants. This study will also determine the most effective~     dose of LPV/RTV for infants.~   ","C0674432;C0292818;C0439663","C0674432;C0292818;C0439663",0,0
"NCT00042081","recommended antiplatelet doses for treating Coronary artery disease_page_rank_103.csv","Prevention of Autogenous Vein Graft Failure in Coronary Artery Bypass Procedures","~     The purpose of this study is to determine the efficacy of graft pretreatment with CGT003 (E2F~     Duplex Decoy), as compared to placebo, on the incidence of patients experiencing vein graft~     failure after coronary artery bypass surgery.~   ","C0205042;C1262018","C0205042;C0032042;C0376495",0,0
"NCT00047437","Nonvalvular atrial fibrillation_page_rank.csv","Exercise Training Program to Improve Clinical Outcomes in Individuals With Congestive Heart Failure","~     The purpose of this study is to determine the long-term safety and effectiveness of exercise~     training for individuals with congestive heart failure (CHF).~   ","C0018802;C2728259;C0184511","C0018802",0,0
"NCT00051363","serious sleep apnea_page_rank.csv","Apnea Positive Pressure Long-Term Efficacy Study","~     The purpose of this study is to determine the effectiveness of nasal continuous positive~     airway pressure (CPAP) therapy for the treatment of obstructive sleep apnea syndrome (OSAS).~   ","C1446409;C0003578","C0037315;C0428719;C1446409;C0376495",2289,35136
"NCT00055120","antiretroviral therapy first time_pageRank.csv","When to Start Anti-HIV Drugs in Patients With Opportunistic Infections","~     The purpose of this study is to evaluate the effect of starting anti-HIV drugs in HIV~     infected patients who are being treated for opportunistic infections (OIs). This study will~     follow two patient groups: those who received anti-HIV drugs soon after being diagnosed with~     an OI and patients with OIs who deferred beginning anti-HIV drugs until after recovering from~     the OI.~   ","C0029118;C3687832","C0029118;C0439663;C3687832;C3687832;C3687832",0,0
"NCT00059306","Nonvalvular atrial fibrillation_page_rank.csv","Secondary Prevention of Small Subcortical Strokes Trial","~     The goal of this study is to learn if combination antiplatelet therapy (aspirin and~     clopidogrel) is more effective than aspirin alone for the prevention of recurrent stroke and~     cognitive decline, and if intensive blood pressure control is associated with fewer recurrent~     strokes and cognitive decline.~      On July 21, 2011 the DSMB recommended terminating the anti platelet arm of the study due to~     an imbalance of overall and major non-CNS hemorrhagic SAE's and total deaths in the~     investigational anti platelet combination of aspirin + clopidogrel and an interim statistical~     analysis that demonstrated futility in the investigational anti platelet arm. It was~     recommended that patients be continued on standard care of aspirin mono therapy until their~     study close-out visit. Also, recommended the continuation and completion of the plood~     pressure arm following the protocol.~   ","C0038454","C0005823;C0004057;C0004057;C0004057;C0004057;C0038454;C3810854;C0446516;C0446516;C0446516;C0038454;C1449882;C0014653;C0019080;C1444662",0,0
"NCT00059306","recommended antiplatelet doses for treating Coronary artery disease_page_rank_103.csv","Secondary Prevention of Small Subcortical Strokes Trial","~     The goal of this study is to learn if combination antiplatelet therapy (aspirin and~     clopidogrel) is more effective than aspirin alone for the prevention of recurrent stroke and~     cognitive decline, and if intensive blood pressure control is associated with fewer recurrent~     strokes and cognitive decline.~      On July 21, 2011 the DSMB recommended terminating the anti platelet arm of the study due to~     an imbalance of overall and major non-CNS hemorrhagic SAE's and total deaths in the~     investigational anti platelet combination of aspirin + clopidogrel and an interim statistical~     analysis that demonstrated futility in the investigational anti platelet arm. It was~     recommended that patients be continued on standard care of aspirin mono therapy until their~     study close-out visit. Also, recommended the continuation and completion of the plood~     pressure arm following the protocol.~   ","C0038454","C0005823;C0004057;C0004057;C0004057;C0004057;C0038454;C3810854;C0446516;C0446516;C0446516;C0038454;C1449882;C0014653;C0019080;C1444662",0,0
"NCT00062803","Nonvalvular atrial fibrillation_page_rank.csv","SR34006 Compared to Vitamin K Antagonist (VKA) in the Treatment of Pulmonary Embolism","~     Patients who have a pulmonary embolism (blood clot in the lung) will be treated in this~     study. The purpose of the study is to compare the safety and effectiveness of a new~     injectable anticoagulant (blood-thinning) drug, SR34006, with the standard way of treating a~     pulmonary embolism. The standard treatment includes injections or infusions of an~     anticoagulant drug, (LMW)heparin, for about a week followed by anticoagulant tablets~     (warfarin or acenocoumarol) which are taken by mouth.~      Assignment to either SR34006 or (LMW)heparin plus warfarin or acenocoumarol will be purely by~     chance and will be known by both patients and their doctors.~   ","C0034065;C3653316;C0376495","C0034065;C0034065;C0302148;C0043031;C0043031;C0005767;C0024109;C0003280;C0003280;C0003280;C0086466;C0376495",0,0
"NCT00063635","dietary approaches for obesity treatment_page_rank.csv","Treatment of Nonalcoholic Fatty Liver Disease in Children (TONIC)","~     The purpose of this study is to determine if therapeutic modification of insulin resistance~     or oxidative stress leads to improvement in serum or histologic indicators of liver injury or~     quality of life.~   ","C0015695;C0012634;C3543842;C0376495","C3840684;C0021212;C0021641;C0038435;C0229671;C0023884;C0237834",158,2941
"NCT00067093","Nonvalvular atrial fibrillation_page_rank.csv","Safety and Efficacy Trial Evaluating the Use of SR34006 in the Treatment of Deep Vein Thrombosis (DVT)","~     Patients who have deep vein thrombosis (blood clot in the leg) will be treated in this study.~     The purpose of the study is to compare the safety and effectiveness of a new injectable~     anticoagulant (blood thinning) drug administered once each week, SanOrg34006, with the~     standard way of treating deep vein thrombosis. The standard treatment includes injections or~     infusions of an anticoagulant drug (Unfractionated Heparin or low molecular weight heparin)~     for about a week, followed by vitamin K antagonist (VKA) anticoagulant tablets (warfarin or~     acenocoumarol) which are taken by mouth. Eligible patients will be assigned to treatment with~     either SanOrg34006 or the combination of Unfractionated Heparin or low molecular weight~     heparin plus a VKA (warfarin or acenocoumarol) by random chance. Treatment will be known to~     both patients and their doctors.~   ","C0149871;C0376495","C0149871;C0149871;C0302148;C0043031;C0043031;C0019134;C0019134;C0019134;C0005767;C1140621;C3653316;C0003280;C0003280;C0003280;C0086466;C3536766;C0376495;C0376495;C0376495",0,0
"NCT00076492","Outcomes of cerebrovascular accident_page_rank.csv","NINDS Parkinson's Disease Neuroprotection Trial of CoQ10 and GPI 1485","~     The goal of this study is to assess the impact of CoQ10 and GPI 1485 on the progression of~     Parkinson's disease, in order to determine whether it is reasonable to proceed with further~     study of either of these agents.~   ","C0012634","C0012634",0,0
"NCT00089752","treating people already having hypertension_page_rank.csv","Continuous Positive Airway Pressure to Improve Milder Obstructive Sleep Apnea","~     The purpose of this study is to determine whether functional status improves in individuals~     with milder obstructive sleep apnea (OSA) following continuous positive airway pressure~     (CPAP) treatment.~   ","C0199451;C0037315;C0184511","C0598463;C0037315;C1446409;C0428719;C0184511",581,5497
"NCT00089752","serious sleep apnea_page_rank.csv","Continuous Positive Airway Pressure to Improve Milder Obstructive Sleep Apnea","~     The purpose of this study is to determine whether functional status improves in individuals~     with milder obstructive sleep apnea (OSA) following continuous positive airway pressure~     (CPAP) treatment.~   ","C0199451;C0037315;C0184511","C0598463;C0037315;C1446409;C0428719;C0184511",581,5497
"NCT00089895","treating people already having hypertension_page_rank.csv","EARLY ACS: Early Glycoprotein IIb/IIIa Inhibition in Patients With Non-ST-segment Elevation Acute Coronary Syndrome (Study P03684AM2)(COMPLETED)","~     The purpose of this study is to see if early INTEGRILIN® (eptifibatide) therapy in patients~     with non-ST-segment elevation acute coronary syndrome (ACS) reduces the occurence of death,~     heart attack and urgent cardiac intervention (surgery) compared to placebo (with delayed~     provisional use of eptifibatide).~   ","C0021467;C0039082","C0039082;C0018787;C0032042",288,867597
"NCT00092274","serious Rheumatoid arthritis_pageRank.csv","Study of HuMax-CD20, a New Drug to Treat Early Stage Non-Hodgkin´s Follicular Lymphoma","~     The purpose of this trial is to determine the safety and efficacy of HuMax-CD20 as a~     treatment for Follicular Lymphoma (FL).~   ","C0024299","C0024299;C0376495",0,0
"NCT00092703","serious Rheumatoid arthritis_pageRank.csv","Investigational Drug Versus an Approved Drug in Patients With Osteoarthritis (0663-061)(COMPLETED)","~     The purpose of this study is to compare the gastrointestinal tolerability of an~     investigational drug to an approved drug in the treatment of osteoarthritis during one year~     treatment period.~   ","C0013230","C0596601;C0013230;C0376495;C0376495",0,0
"NCT00093314","serious Rheumatoid arthritis_pageRank.csv","HuMax-CD20 in Chronic Lymphocytic Leukemia","~     The purpose of this trial is to determine the safety and efficacy of HuMax-CD20 as a~     treatment for Chronic Lymphocytic Leukemia.~   ","C0023434","C0023434;C0376495",0,0
"NCT00098137","Nonvalvular atrial fibrillation_page_rank.csv","Trial to Investigate the Efficacy of Olmesartan in Paroxysmal Atrial Fibrillation","~     Hypothesis:~      Blocking the angiotensin (AT) II type 1 receptor (Olmesartan) reduces the incidence of~     episodes of atrial fibrillation in patients with paroxysmal atrial fibrillation during 12~     months by more than 25% compared to standard medication without angiotensin II type 1~     receptor.~      A total of 422 subjects will be included in the two study groups. The treatment arm will~     receive 40mg Olmesartan per day, the remaining patients will receive placebo. Follow-up is 12~     months. Daily Tele-ECG recordings will determine the cardiac rhythm and asymptomatic episodes~     of atrial fibrillation (AF) every day. Concomitant therapy with AV-nodal blocking drugs are~     allowed during the study. In case of severe AF-induced symptoms, an antiarrhythmic recovery~     medication (amiodarone) is allowed during follow-up.~   ","C0235480;C1098320","C0235480;C0004238;C0004238;C0003009;C1098320;C1098320;C0002598;C1457887;C0871269;C3687832;C0446516;C0003018;C4284232;C4284232;C2004454;C0032042;C1522577;C0376495",0,0
"NCT00099710","safe treatment for Alzheimer disease_page_rank.csv","Curcumin in Patients With Mild to Moderate Alzheimer's Disease","~     The purpose of this study is to examine the safety and tolerability of curcumin, and to~     determine its effect on patients with mild to moderate Alzheimer's Disease (AD).~   ","C0002395;C0010467","C0002395;C0010467;C0332128",0,0
"NCT00119717","Outcomes of cerebrovascular accident_page_rank.csv","Safety and Efficacy of NeuroFlo Technology in Ischemic Stroke (SENTIS)","~     The purpose of this study is to assess the safety and efficacy of the NeuroFlo™ catheter for~     use in patients with ischemic stroke. The NeuroFlo device is intended to increase blood flow~     to the brain and potentially reduce the damage caused by stroke.~   ","C0948008","C0948008;C0005767;C0006104",0,0
"NCT00121472","Nonvalvular atrial fibrillation_page_rank.csv","Thoratec HeartMate II Left Ventricular Assist System (LVAS) for Bridge to Cardiac Transplantation","~     The purpose of this study is to determine the safety and effectiveness of the Thoratec~     HeartMate II Left Ventricular Assist System (LVAS) as a bridge to cardiac transplantation in~     end-stage heart failure patients who are listed for cardiac transplant but are at imminent~     risk of dying.~      The HeartMate II LVAS was approved by the US FDA on April 21, 2008, as a bridge to cardiac~     transplantation (reference PMA P060040). It was approved for commercial distribution in~     Canada on May 20, 2009 (reference Medical Device Licence #79765). Patients enrolled into the~     clinical trial will continue to be followed until all have reached a clinical outcome.~   ","C0040732","C0040732;C0040732;C0018801;C3841811;C0680536;C0025080",874,5044
"NCT00121485","Nonvalvular atrial fibrillation_page_rank.csv","Thoratec HeartMate II Left Ventricular Assist System (LVAS) for Destination Therapy","~     The purpose of this study is to determine the safety and effectiveness of the Thoratec~     HeartMate II Left Ventricular Assist System (LVAS) as Destination Therapy in end-stage heart~     failure patients who do not qualify for cardiac transplantation.~      The Destination Therapy indication for use was approved by FDA on January 20, 2010 (ref. PMA~     P060040/S005).~   ","","C0018787",1232,5376
"NCT00121966","recommended antiplatelet doses for treating Coronary artery disease_page_rank_103.csv","South Danish Diabetes Study: Evaluation of the Antidiabetic Treatment of Type 2 Diabetes Mellitus","~     The primary objective of this study is:~        -  To investigate whether insulin aspart with meals is better than a standard treatment~          with insulin NPH at bedtime, evaluated by HbA1c.~      The secondary objectives of this study are:~        -  To study if a combination treatment with metformin and/or rosiglitazone and insulin~          aspart with meals is better than a standard treatment with insulin NPH combined with one~          or more of the above oral antidiabetic drugs. According to the hypothesis, special focus~          will be given to the treatment group with insulin aspart combined with metformin and~          rosiglitazone. The treatment effect will be evaluated by HbA1c.~        -  To examine the effects of the treatments on glucose metabolism and beta cell function,~          evaluated by diurnal blood glucose, fasting plasma glucose, insulin, C-peptide, and~          lactate.~        -  To examine the effects of the treatments on cardiovascular risk factors evaluated by~          serum lipid profiles, serum free fatty acids, urine albumin/creatinine ratio, and~          electrocardiogram (ECG).~        -  To quantify and describe the patients' subjective experiences of the two different~          insulin treatments (quality of life assessment)~        -  To examine patients with type 2 diabetes for the presence of variability in a series of~          genes, which are known to or are assumed to:~             -  affect the long term outcome;~             -  determine the responsiveness to treatment with diet, exercise and drugs targeting~               the known risk markers for late diabetic complications; and~             -  after intervention, to analyse the complex interrelationships between genotypes and~               clinical endpoints and the responsiveness to actual treatment modalities.~   ","C0011849;C0220825;C0011847;C0376495","C0013798;C1708521;C1708521;C3887460;C0289313;C0289313;C0035648;C0025519;C0011847;C0021641;C0021641;C0017725;C0017725;C0015663;C0017725;C0021641;C0021641;C0032105;C3687832;C0005767;C0229671;C0229671;C0042036;C3687832;C0009566;C0596545;C0021641;C0332128;C0332128;C0332128;C0376495;C0376495;C0376495;C1318293;C0202115;C0939261;C0376495;C0376495;C0376495;C0376495;C0376495;C0376495",0,0
"NCT00122382","serious Rheumatoid arthritis_pageRank.csv","Remission and Joint Damage Progression in Early Rheumatoid Arthritis","~     This is a world wide study to evaluate the remission and joint damage in subjects treated~     with abatacept in addition to methotrexate versus subjects who receive methotrexate along~     with a placebo.~   ","C0003873;C0544452","C0025677;C0025677;C0544452;C1619966",973,31558
"NCT00130039","Outcomes of cerebrovascular accident_page_rank.csv","Trial of Cilostazol in Symptomatic Intracranial Arterial Stenosis II","~     This study will recruit 480 acute stroke patients with symptomatic intracranial stenosis (M1~     segment of Middle cerebral artery (MCA) or basilar artery).~      They will be randomly assigned into cilostazol group or clopidogrel group. Every patients~     will take 100mg of aspirin a day additionally.~      The primary outcome variable of this study is Progression rate of symptomatic intracranial~     stenosis on magnetic resonance angiogram (MRA).~   ","C0524466;C1261287","C0524466;C0002978;C1261287;C1261287;C0004057;C0038454;C0524466;C1269012",1284,17823
"NCT00133692","treating people already having hypertension_page_rank.csv","INVEST: INternational VErapamil SR Trandolapril STudy","~     Because blood pressure affects the heart, blood vessels, kidneys, and the entire body, it is~     important to keep it as normal as possible. There are several different ways to control blood~     pressure and to prevent or limit the development of heart disease due to high blood pressure.~     The purpose of this study is to compare two treatments to see how well they work and the~     difference in their side effects. One treatment includes the use of a calcium antagonist drug~     (Isoptin sustained release [SR] or Verapamil SR). The other treatment excludes the calcium~     antagonist and may include a non-calcium antagonist drug called a beta blocker (Tenormin or~     Atenolol). Both treatments may also include medication called angiotensin converting enzyme~     (ACE) inhibitors and water pills. None of the drugs in this study are experimental, they are~     all approved by the Food and Drug Administration (FDA).~   ","","C0005823;C0332149;C0592168;C0012634;C0006675;C0700933;C0006675;C0018787;C0005767;C0018787;C0005767;C0043047;C3687832;C0003018;C4284232;C0006675;C0376495;C0376495;C0148346;C0022646;C0005767;C1536055;C2732140;C0376495;C0376495",0,0
"NCT00133718","recommended antiplatelet doses for treating Coronary artery disease_page_rank_103.csv","A 2 Year Trial of Patients With Type 2 Diabetes Focusing on Cardiovascular Diagnostics and Metabolic Control","~     The purposes of this study are:~        -  to investigate the extent of cardiovascular complications in a representative cohort~          (n=135) of adult patients with type 2 diabetes;~        -  to examine if modern non-invasive assessment can replace invasive assessment;~        -  to determine the effects of a 6 month lifestyle interventional program on weight,~          glycemic control and lipids in 60 patients;~        -  to determine the effect of a 2-year prospective, randomised multi-interventional program~          (n=120) on cardiovascular risk, anthropometric measures and glycometabolic control; and~        -  to investigate inflammatory markers in this setting.~   ","C3887460;C0011847","C2598146;C3887460;C3887460;C2728259;C0009566;C2728259;C0332128;C0011847",0,0
"NCT00140751","antiretroviral therapy first time_pageRank.csv","Comparison of Treatment Simplification by LPV/r vs Current Treatment Continuation in HIV-Infected Patients","~     The purpose of this study is to compare the efficacy and tolerance of a treatment~     simplification by a Lopinavir/ritonavir monotherapy versus continuation of current treatment~     in HIV-infected patients~   ","C0439663;C1521871;C0376495;C0376495","C0674432;C0292818;C0439663;C1521871",0,0
"NCT00142805","Dietary Therapy Epilepsies_page_rank.csv","Ketasyn in Mild to Moderate Alzheimer's Disease","~     The purpose of this study is to evaluate the safety, tolerability and effectiveness of~     Ketasyn™ administered once a day for ninety days in subjects with mild to moderate, probable~     Alzheimer's disease.~   ","C0002395","C0002395",0,0
"NCT00145119","Outcomes of cerebrovascular accident_page_rank.csv","CARISMA : Cardiac Arrhythmias and Risk Stratification After MyoCardial Infarction","~     The purpose of this study is to assess the incidence of tachy- and bradyarrhythmic episodes~     in patients with acute myocardial infarction with depressed ventricular function and to~     determine the predictive value of several invasive and non-invasive risk markers for~     life-threatening arrhythmia~   ","C0027051;C0003811","C0155626;C0003811",76,624
"NCT00151177","Outcomes of cerebrovascular accident_page_rank.csv","Continuous Positive Airway Pressure Ventilation After Acute Ischemic Stroke","~     More than half of all stroke patients have sleep apneas in the acute phase after stroke.~     Sleep apneas may be associated with higher degrees of disability three months after stroke~     due to numerous factors associated with sleep apneas such as persistent hypertension, cardiac~     arrhythmias, and clotting disorders.~      Non-invasive CPAP (continuous positive airway pressure)-therapy may reverse a number of these~     effects very shortly after initiation. The aim of the study is to test the feasibility of~     early non-invasive CPAP treatment starting in the first night after stroke onset, and to test~     its efficacy in a randomized clinical trial.~      50 patients with acute ischemic stroke will be enrolled and randomly assigned to standard~     care PLUS CPAP treatment or standard care only. All patients randomized to the intervention~     group will receive CPAP therapy for the first three nights after stroke. In the fourth night,~     a cardiorespiratory polygraphy will be performed in patients and controls. Patients assigned~     to the intervention group with a respiratory distress index > 10/h will be treated further~     on. On admission, day 4, and day 10 after stroke, diffusion weighted MRI imaging will be~     performed to determine the size of the infarction. The NIHSS score will be used to assess~     clinical short-term outcome on day 4 and day 10. After three months, the outcome will be~     determined using the modified Rankin scale.~      As CPAP therapy may be more laborious for the provider, the additional work-load will be~     documented using pre-specified scales.~      Primary hypothesis of the study is, that CPAP therapy is feasible in acute stroke patients~     and that the additional work load will not outweigh the benefits.~      Secondary hypothesis is that patients assigned to the treatment group have smaller~     infarctions on MRI and less neurological deficits at 3 months after stroke.~      Patients entering the study will be investigated by transcranial Doppler ultrasound in case~     they have sufficient temporal bone windows for insonation and no stenosis or occlusions of~     major brain supplying arteries by the time of investigation that disturb the intracerebral~     blood flow.~      All intracranial arteries will be assessed before treatment, after treatment and on day 8~     after the insult.~      Screen shots will be taken and will be analysed by dynamic vascular ultrasound (DVA), a new~     software algorithm developed by NHSi, to investigate microcirculatory information from the~     flow spectra of the major intracranial arteries.~      The data from this post-hoc analysis are compared with the data of the polysomnography and~     with treatment.~      Primary hypothesis in this substudy is that DVA reliably identifies patients with sleep apnea~     on days one and four after stroke. Secondary hypothesis is that DVA can distinguish between~     treated patients and controls.~   ","C0199451;C0948008","C0476273;C0948008;C0162701;C0020538;C0524466;C0524466;C0021308;C1301725;C0002045;C1446409;C1261287;C0003842;C0003842;C0038454;C0038454;C0038454;C0038454;C0038454;C0038454;C0037313;C0037313;C0037313;C0918012;C0006104;C0005767;C0037313;C2948600;C2984908;C0003811;C0021308;C1456025;C0038454;C0598801;C0600091;C0003842;C0003578;C0003578;C0003578;C0003578;C0474781;C2947996;C2947996;C0376495;C0376495;C0376495;C0376495;C0376495",0,0
